N° d'horodateur;Alimentation;Modèle;Adresse;Arrondissement;Type de régime;Tarif du stationnement;Zone résidentielle;Tarif horaire;geo_shape;geo_point_2d
83840101;SOLAIRE;ECA1;25  vis-à-vis RUE ROUELLE;15;MIX;Z2 MIX 6H 5U;15M;2.4;"{""type"": ""Point"", ""coordinates"": [2.287410999619452, 48.85023299942303]}";48.8502329994,2.28741099962
84810202;SOLAIRE;ECA1;4   RUE SAINT AMBROISE;11;MIX;Z1 MIX 6H 5U;11F;4.0;"{""type"": ""Point"", ""coordinates"": [2.377255000452283, 48.86203699875055]}";48.8620369988,2.37725500045
85131301;SOLAIRE;ECA1;157   RUE SAINT CHARLES;15;ROT;Z2 ROT 6H 5U;;2.4;"{""type"": ""Point"", ""coordinates"": [2.282008999937323, 48.84241599903302]}";48.842415999,2.28200899994
85291001;PILE;ECM1;54  vis-à-vis RUE SAINT DOMINIQUE;7;ROT;Z1 ROT 6H 5U;;4.0;"{""type"": ""Point"", ""coordinates"": [2.309355000290169, 48.85981999880106]}";48.8598199988,2.30935500029
85292101;PILE;ECM1;145   RUE SAINT DOMINIQUE;7;ROT;Z1 ROT 6H 5U;;4.0;"{""type"": ""Point"", ""coordinates"": [2.300821999776214, 48.85785299947174]}";48.8578529995,2.30082199978
86450202;PILE;ECM1;24   BOULEVARD SAINT JACQUES;14;MIX;Z2 MIX 6H 5U;14P;2.4;"{""type"": ""Point"", ""coordinates"": [2.339260999356066, 48.832549999254894]}";48.8325499993,2.33926099936
86990302;SOLAIRE;ECA1;30   RUE SAINT MAUR;11;MIX;Z1 MIX 6H 5U;11J;4.0;"{""type"": ""Point"", ""coordinates"": [2.381751000572792, 48.86058899906897]}";48.8605889991,2.38175100057
86991304;SOLAIRE;ECA1;94   RUE SAINT MAUR;11;MIX;Z1 MIX 6H 5U;11F;4.0;"{""type"": ""Point"", ""coordinates"": [2.377644999576984, 48.86536799898304]}";48.865367999,2.37764499958
87160203;SOLAIRE;ECA1;29   RUE DE SAINTONGE;3;MIX;Z1 MIX 6H 5U;3E;4.0;"{""type"": ""Point"", ""coordinates"": [2.3630220002833, 48.862270998972654]}";48.862270999,2.36302200028
87350201;SOLAIRE;ECA1;43   RUE SAINT PLACIDE;6;ROT;Z1 ROT 6H 5U;;4.0;"{""type"": ""Point"", ""coordinates"": [2.326218999473878, 48.84788299917958]}";48.8478829992,2.32621899947
87920106;SOLAIRE;ECA1;20   RUE SALNEUVE;17;MIX;Z2 MIX 6H 5U;17P;2.4;"{""type"": ""Point"", ""coordinates"": [2.314291999356331, 48.88564799907125]}";48.8856479991,2.31429199936
88090803;SOLAIRE;ECA1;83   RUE DE LA SANTE;13;MIX;Z2 MIX 6H 5U;13G;2.4;"{""type"": ""Point"", ""coordinates"": [2.341428999613519, 48.83095099917492]}";48.8309509992,2.34142899961
88610101;SOLAIRE;ECA1;7   RUE DE SAVOIE;6;MIX;Z1 MIX 6H 5U;6E;4.0;"{""type"": ""Point"", ""coordinates"": [2.34167799983859, 48.85427799877548]}";48.8542779988,2.34167799984
88660403;PILE;ECM1;61   AVENUE DE SAXE;7;MIX;Z1 MIX 6H 5U;7N;4.0;"{""type"": ""Point"", ""coordinates"": [2.313489999344874, 48.84631499864724]}";48.8463149986,2.31348999934
89090901;PILE;ECM1;81   AVENUE DE SEGUR;15;MIX;Z2 MIX 6H 5U;15G;2.4;"{""type"": ""Point"", ""coordinates"": [2.30581299989635, 48.84734599925736]}";48.8473459993,2.3058129999
89150201;SOLAIRE;ECA1;0   AVENUE DE SELVES;8;ROT;Z1 ROT 6H 5U;;4.0;"{""type"": ""Point"", ""coordinates"": [2.311658999635697, 48.867532998978206]}";48.867532999,2.31165899964
