Identifiant station;Nom de la station;Capacité de la station;Coordonnées géographiques
22005;Charles de Gaulle - Madrid;22;48.8844322704,2.26080447435
16021;François Ponsard - La Muette;23;48.8583666,2.2744515
31027;Place de la République;28;48.852988,2.42467
21001;Transvaal - Charles de Gaulle;27;48.8482804036,2.23734201209
8019;Naples - Rome;26;48.8799607008,2.32135869563
4110;Neuve Saint-Pierre - Beautreillis;20;48.8535535144,2.36391227692
17022;Pereire - Place de Wagram;46;48.8870706076,2.30411112453
7020;Champ de Mars - Cler;41;48.8566915501,2.30664677918
21311;Parvis Corentin Celton;55;48.8274725252,2.278431952
14006;Saint-Jacques - Tombe Issoire;24;48.8332063305,2.33691081405
4011;Hôtel de Ville - Pont-Marie;36;48.8538996455,2.35694725066
17016;Brochant - Square des Batignolles;31;48.8881869858,2.31686114315
19031;Manin - Crimée;23;48.8831217744,2.38636706024
31018;Gambetta - Michelet;33;48.8527379238,2.42996603251
2110;Jeûneurs - Mulhouse;28;48.868997,2.346925
20103;Le Vau - Maurice Bertaux;25;48.8680343904,2.41103061245
22401;Charles de Gaulle - Plateau de Vanves;33;48.8223308897,2.29857180341
18142;Jessaint - Marx Dormoy;30;48.8848454311,2.35893040895
21017;Place Marcel Sembat;56;48.8332886503,2.24417477846
48009;République - Auguste Perret;30;48.7869528095,2.35185943544
31026;Demi-Lune - Aristide Briand;20;48.8762638192,2.4562818557
19025;Botzaris - Crimée;21;48.8795969869,2.38879133375
20039;Belleville - Couronnes;50;48.8688310829,2.38098621368
17039;Place Saint-Ferdinand;38;48.8781552979,2.28851804786
42003;Place de l'Insurrection d'Août 1944;30;48.8147785275,2.39807456732
10018;Square Alban Satragne;30;48.8753405484,2.35588476062
16030;Place de Barcelone - Mirabeau;55;48.8476230274,2.27356642485
8549;George V - Christophe Colomb;24;48.87046,2.30104
16020;Place de la Porte de Passy;36;48.8573410955,2.26441655388
11021;Charonne - Pierre Bayle;23;48.8584450543,2.39039812239
42209;Place de l'Europe;17;48.8252985884,2.39456791431
8037;Monceau - Malesherbes;38;48.8795079,2.3145456
27004;Gare de la Garenne-Colombes;28;48.909752,2.239145
44009;Gare RER les Ardoines;49;48.7838563635,2.40790937175
17108;Bessières - Porte de Clichy;33;48.8961176245,2.31790903956
1021;Halles - Bourdonnais;20;48.8604489926,2.3460162431
